,media_id,favorites,coins,views,danmakus,media_tags,score,cm_count
124,102292,1119156,69174,16476379,262496,"['游戏改', '催泪', '推理', '治愈', '穿越', '冒险']",9.2,8403.0
125,28222277,108842,17641,1721603,46487,"['漫画改', '校园', '魔法', '搞笑', '日常', '穿越']",9.7,4932.0
126,11912,1126308,53015,19373990,490509,"['治愈', '美食', '漫画改']",9.2,6664.0
127,5776,1132738,69398,15367725,636397,"['漫画改', '日常', '架空']",9.4,2870.0
128,2760,1150075,65978,41155196,1489120,"['奇幻', '校园', '战斗']",8.6,2975.0
129,5022,1152338,56715,26645559,751570,"['热血', '奇幻', '战斗', '架空', '冒险']",8.1,1178.0
130,6328,1004626,95773,18145410,1128321,"['小说改', '音乐', '萝莉']",8.6,2710.0
131,102272,1008976,67793,12063199,284179,"['战斗', '原创', '架空', '冒险']",8.8,12082.0
132,5797,1010417,36799,15635489,467656,"['战斗', '热血', '萝莉', '原创']",7.9,2153.0
133,4316462,1012056,110424,17278739,206163,"['小说改', '奇幻', '校园', '声控']",9.7,15970.0
134,139632,1012340,120281,16363934,398344,"['萌系', '漫画改']",9.7,10312.0
135,3464,1013832,79787,48697025,1020378,"['奇幻', '校园', '战斗', '架空', '冒险']",8.4,1788.0
136,11672,1021746,107997,15956829,256009,"['奇幻', '日常', '漫画改', '萌系']",9.9,28233.0
137,5027,1024331,66779,18988893,794912,"['萌系', '日常']",9.5,3365.0
138,281,1029547,52251,6192401,202631,"['日常', '奇幻', '励志', '职场']",9.6,7779.0
139,6000,1033042,41765,19854512,408895,"['小说改', '科幻', '架空']",7.9,1997.0
140,856,1043158,7430,974761,26433,"['萌系', '奇幻', '日常', '催泪', '小说改', '推理', '萝莉']",9.7,10156.0
141,6340,1047844,95949,24961788,958221,"['小说改', '校园', '社团']",9.0,11835.0
142,5534,1048698,56188,25667438,1069201,"['乙女', '漫画改', '校园']",8.9,2044.0
143,24069719,1049263,118356,17591918,310677,"['漫画改', '恋爱', '校园', '日常']",9.7,11494.0
144,1064,1049276,25763,7248978,270159,"['奇幻', '科幻', '战斗', '热血', '催泪', '冒险']",9.7,5447.0
145,2539,1053197,52806,13354156,700311,"['奇幻', '魔法', '穿越', '原创']",9.8,14161.0
146,710,922888,18773,2453830,139627,"['奇幻', '日常', '治愈']",9.4,5234.0
147,4388,931646,27876,8841349,354294,['战斗'],8.8,2960.0
148,5798,938798,35915,16415093,372432,"['泡面', '日常']",9.4,2780.0
149,2993,946427,36653,13883560,759302,"['热血', '奇幻', '校园', '战斗']",8.6,2153.0
150,78572,954031,87911,13694631,337209,"['恋爱', '原创']",8.9,11782.0
151,116772,956204,55945,8584040,308844,"['萌系', '少女', '治愈', '日常']",9.8,9005.0
152,132112,961505,123134,20304525,433686,"['搞笑', '日常']",9.9,18418.0
153,5062,962463,54319,13698832,1052630,"['音乐', '偶像']",8.8,2350.0
154,28220104,28410,3237,225860,5322,"['原创', '战斗', '奇幻', '魔法']",9.8,907.0
155,28220103,41322,4377,286110,12809,"['原创', '奇幻', '战斗', '魔法']",9.8,1200.0
156,28222749,973552,54959,11953409,151505,"['漫画改', '校园', '搞笑', '奇幻', '神魔']",9.7,7469.0
157,5056,974104,37167,20359644,664747,"['热血', '智斗', '推理']",7.5,1649.0
158,2654,974787,28789,9170783,287915,"['奇幻', '治愈', '神魔']",9.8,7475.0
159,102112,990207,89346,23719124,353103,"['搞笑', '日常', '神魔']",9.4,10586.0
160,1574,991411,58051,29351905,818589,"['日常', '校园', '漫画改']",9.3,3891.0
161,5523,831675,70486,15241513,306531,"['漫画改', '恋爱', '日常', '励志', '治愈']",9.8,5350.0
162,686,831858,30228,12612583,726521,"['科幻', '校园', '战斗', '热血', '小说改']",8.8,3429.0
163,3120,834218,54588,20255787,791957,"['日常', '搞笑', '美食']",9.1,2068.0
164,3375,839875,40711,7228648,68058,['治愈'],9.7,2957.0
165,419,840263,30980,4062286,116604,"['奇幻', '热血', '原创']",9.8,15385.0
166,818,842611,6200,1919189,60259,"['奇幻', '日常', '战斗', '恋爱', '小说改', '架空', '穿越', '冒险']",9.3,2412.0
167,2591,851153,36693,23315981,428964,"['奇幻', '科幻', '热血', '游戏改']",9.3,2056.0
168,4155,856482,81307,6021685,198903,"['校园', '少女', '恋爱']",9.8,8820.0
169,5806,864507,46342,13285490,338734,"['校园', '社团', '战斗', '游戏改']",9.0,2414.0
170,3489,869512,18506,13979124,413263,"['校园', '战斗']",8.0,1296.0
171,59,871447,22029,5216083,219265,"['少女', '恋爱', '校园']",9.5,2735.0
172,2843,875310,21818,7482573,109076,"['奇幻', '日常']",9.3,2015.0
173,2762,883749,81268,15841995,743005,"['萌系', '日常', '美食', '萝莉']",9.7,4091.0
174,139352,887686,202271,20042540,350211,"['运动', '励志', '小说改', '热血']",9.9,39553.0
175,1239,748540,13824,4249364,99562,"['奇幻', '日常']",9.8,3220.0
176,139272,751457,52246,8623916,137633,"['萌系', '搞笑', '恋爱', '奇幻', '日常', '神魔', '漫画改']",9.5,4686.0
177,297,752981,25860,26564124,2850899,"['萌系', '搞笑', '日常', '治愈', '少女']",9.6,2209.0
178,28220475,758516,97127,16181099,195845,"['漫画改', '历史', '热血', '冒险']",9.8,20059.0
179,4762694,758363,87344,16391249,186414,"['治愈', '漫画改', '萌系']",9.7,9127.0
180,444,759466,9012,1432768,36274,"['奇幻', '少女', '声控', '神魔', '架空', '冒险']",9.5,4526.0
181,2747,761286,36775,12850611,265466,"['奇幻', '小说改']",9.6,2179.0
182,106512,763814,68739,6716105,193193,"['奇幻', '战斗', '小说改', '励志', '架空', '穿越', '冒险']",9.8,15673.0
183,5057,774068,37493,20108502,625120,"['热血', '校园', '智斗']",8.0,2270.0
184,2592,777835,41648,19730385,1100394,"['萌系', '日常', '校园', '热血', '社团']",9.4,4898.0
185,2661,781257,113353,18888360,3179149,"['日常', '萌系', '校园', '小说改']",9.0,6655.0
186,1732,795025,41321,12410793,509874,"['日常', '泡面', '奇幻']",9.7,4884.0
187,6330,800434,61268,12003263,556815,"['职场', '漫画改']",9.5,7160.0
188,1071,801127,31645,5170113,194056,"['奇幻', '日常', '治愈', '小说改', '架空', '冒险']",9.8,6283.0
189,9192,801625,37291,4592789,224191,"['科幻', '原创', '架空']",8.7,15091.0
190,78832,697097,21393,9340769,243769,"['搞笑', '漫画改', '偶像', '魔法']",9.3,5220.0
191,1624,698327,17468,13012379,856594,"['运动', '热血', '声控', '社团', '漫画改', '励志']",9.0,1640.0
192,3530,700468,49391,27565541,837356,"['机战', '科幻', '恋爱', '战斗', '原创']",8.8,1703.0
193,1715,702507,14081,2739605,47342,"['奇幻', '治愈']",9.8,5766.0
194,5786,704007,29445,16733494,95177,"['漫画改', '萌系', '日常', '泡面']",9.6,3377.0
195,5990,706029,33048,11552349,455127,"['搞笑', '漫画改']",9.1,1444.0
196,5029,711207,38016,12379884,421984,"['日常', '治愈', '萌系']",9.5,1612.0
197,21984454,711862,75820,10963576,134034,"['漫画改', '奇幻', '校园', '恋爱', '少女']",9.7,6934.0
198,77552,717479,33404,11536217,183729,"['战斗', '游戏改', '科幻']",8.7,6878.0
199,102232,718983,36173,8914633,268816,"['热血', '社团', '运动', '小说改']",9.6,4091.0
200,5031,719725,16397,13009468,299193,"['奇幻', '战斗']",4.0,1157.0
201,2578,719822,37867,17048278,860456,"['少女', '奇幻', '架空']",9.6,1829.0
202,2724,720115,30366,21684206,519697,"['校园', '奇幻', '战斗']",8.5,1233.0
203,8672,760694,40834,4752938,380623,"['奇幻', '治愈', '催泪', '恋爱']",9.7,11600.0
204,846,730644,14485,2612582,70187,"['萌系', '日常', '小说改']",9.5,3457.0
205,897,641899,13038,4493806,149966,"['日常', '小说改', '推理']",9.2,2016.0
206,23200609,642456,62230,10774061,203666,"['漫画改', '日常', '萌系', '校园']",9.6,5106.0
207,2583,643809,16850,25456482,481825,"['奇幻', '热血']",6.8,1337.0
208,5018,644395,16244,10376958,784426,"['校园', '日常']",7.2,641.0
209,28220978,686457,75010,5984112,246101,"['日常', '校园', '音乐', '漫画改']",9.9,27298.0
210,3516,645898,29829,6298894,439936,"['恋爱', '音乐', '校园', '偶像', '游戏改']",9.6,6584.0
211,28221050,649213,8405,1907743,52247,"['架空', '冒险']",9.6,2640.0
212,2575,655010,28365,17770866,484773,"['萌系', '奇幻', '校园', '战斗', '热血', '魔法']",9.4,2134.0
213,5707,656130,151564,90893080,1596754,"['治愈', '游戏改', '架空', '冒险']",9.5,6927.0
214,1407,656317,25898,10733620,400366,"['搞笑', '日常', '少女', '校园', '社团', '乙女']",9.8,5252.0
215,1665,668523,14529,4211119,248469,"['科幻', '热血', '战斗', '穿越']",9.4,2252.0
216,6308,674343,35695,18184421,494487,"['日常', '神魔']",9.1,3420.0
217,79292,674864,36380,16675279,236216,"['搞笑', '神魔', '漫画改']",9.8,5335.0
218,1635,721125,37305,10126685,330065,"['科幻', '机战', '战斗']",9.7,12525.0
219,5788,681131,72078,19428616,663937,"['原创', '冒险']",9.6,7514.0
220,28221402,682050,36052,14098306,161975,"['漫画改', '战斗', '声控', '奇幻', '架空', '冒险']",8.2,6997.0
221,2740,596088,46109,26899730,671270,"['热血', '机战', '科幻', '战斗']",9.2,1804.0
222,5532,598886,43655,9280479,338641,"['搞笑', '励志', '原创', '职场']",9.0,2196.0
223,324,599972,27498,21145679,1123365,"['奇幻', '搞笑', '热血', '战斗']",9.0,2103.0
224,103032,601886,43051,13196523,169953,"['萌系', '恋爱', '日常', '治愈', '原创']",9.7,4187.0
225,102732,602858,25733,10547661,210955,"['小说改', '催泪']",5.8,9814.0
226,5033,605458,17720,16120029,216725,"['校园', '日常', '泡面']",9.1,900.0
227,2601,606501,28152,15021054,482484,"['战斗', '热血']",9.6,2479.0
228,6009,609224,56091,21287015,465938,"['奇幻', '日常', '时泪']",9.8,6635.0
229,4400,615100,21670,9146428,403147,"['推理', '校园']",9.1,2775.0
230,21971025,620288,75635,17479347,344549,"['漫画改', '奇幻', '科幻', '战斗']",9.5,15928.0
231,2676,622061,13604,6990262,155577,"['科幻', '战斗', '小说改', '架空']",9.3,1449.0
232,857,622427,17977,7995428,647864,"['少女', '校园', '治愈', '催泪', '恋爱']",9.7,1964.0
233,3071,622888,82683,20959897,1407271,"['校园', '音乐', '偶像', '社团']",9.7,4574.0
234,289,623027,19290,10461089,364513,"['奇幻', '智斗', '架空', '穿越', '冒险']",9.6,2536.0
235,9052,623258,22937,7782529,98122,"['日常', '美食', '漫画改']",9.1,3103.0
236,333,630788,29351,18779946,335498,"['奇幻', '战斗', '架空']",9.7,2385.0
237,713,540054,17411,1538448,126095,"['日常', '少女', '校园', '小说改', '治愈']",9.5,5724.0
238,3451,540449,34916,15627600,757949,['原创'],3.9,7666.0
239,5809,540470,22476,11463151,278010,"['搞笑', '漫画改']",9.0,960.0
240,79372,540902,48443,4484856,57248,"['恋爱', '科幻', '校园', '漫画改']",9.9,19647.0
241,5789,543782,28967,10562228,230414,"['游戏改', '奇幻', '战斗', '架空', '冒险']",8.0,964.0
242,12492,545081,31298,11236438,215611,"['校园', '战斗', '原创']",8.7,5414.0
243,2614,545854,14701,20018935,94464,"['萌系', '搞笑', '日常', '少女']",9.6,1472.0
244,4316402,546416,23724,7399307,94656,"['机战', '科幻', '战斗', '原创', '声控', '穿越']",8.9,8635.0
245,120732,546745,35828,6627443,339679,"['奇幻', '战斗', '魔法', '游戏改']",9.5,6120.0
246,5542,548211,18642,10010813,194775,['推理'],7.8,560.0
247,134952,555283,34541,6405960,43416,"['搞笑', '职场', '漫画改']",9.6,3430.0
248,2783,556458,21487,7083758,329072,"['搞笑', '奇幻']",9.0,2253.0
249,782,557998,16321,2726767,46942,"['萌系', '日常', '治愈', '萝莉']",9.8,4008.0
250,9152,559003,50334,7134888,271002,"['萌系', '漫画改', '少女']",9.6,4613.0
251,249,562271,19230,4240426,261618,"['萌系', '日常', '美食', '小说改', '偶像']",9.3,2990.0
252,21995182,483527,19259,9088268,67749,"['漫画改', '奇幻', '职场', '声控']",7.5,2812.0
253,113852,486000,45487,6210466,145707,"['奇幻', '战斗', '声控', '原创']",9.7,4175.0
254,6082,488111,24166,12925807,174033,"['热血', '战斗']",9.6,4352.0
255,877,493494,18457,13915991,612294,"['奇幻', '热血', '智斗', '战斗', '时泪', '架空', '冒险']",9.8,3779.0
256,6345,496861,21276,3368470,91140,"['奇幻', '神魔']",9.8,4865.0
257,899,497087,1275,320910,9961,"['奇幻', '战斗', '热血', '声控', '神魔']",9.3,1916.0
258,451,499462,5976,1054829,28337,"['萌系', '日常']",9.6,3360.0
259,24120616,501532,17784,2320080,76569,"['小说改', '奇幻', '校园', '日常', '社团']",9.7,2312.0
260,78112,506258,30534,8948193,25962,"['恋爱', '漫画改']",9.3,2752.0
261,3786,508813,20931,6200203,217385,"['奇幻', '推理', '战斗', '穿越', '冒险']",9.6,4607.0
262,77812,514718,50087,8666452,221126,"['搞笑', '日常', '漫画改']",9.7,6436.0
263,1078,522276,1550,488288,7595,"['日常', '游戏改', '恋爱']",9.3,1248.0
264,139292,528841,52496,7522193,163945,"['小说改', '校园', '社团', '运动']",9.4,6894.0
265,5556,533733,17075,12499791,55463,"['漫画改', '神魔', '泡面']",9.6,1810.0
266,1359,534000,10190,2442394,69111,"['时泪', '奇幻', '声控', '小说改', '搞笑', '热血']",9.7,4223.0
267,115632,450495,204473,2519329,41582,"['小说改', '恋爱']",9.8,21102.0
268,637,452011,26159,4711144,207831,"['萌系', '搞笑', '日常', '校园']",9.7,3116.0
269,3421,452855,38258,10788843,274723,"['萌系', '校园', '日常', '治愈']",9.4,1372.0
270,5525,452959,22857,7155597,157367,"['漫画改', '日常', '治愈']",9.5,972.0
271,28223473,3486,3392,113855,5833,"['日常', '漫画改', '搞笑']",9.8,1078.0
272,2545,454788,11915,2818870,47515,"['少女', '治愈']",9.0,622.0
273,4152,455341,15738,3713415,128937,"['治愈', '少女', '漫画改', '架空']",9.6,2772.0
274,5507,455871,37455,10359661,200036,"['搞笑', '日常', '职场', '漫画改']",9.3,1462.0
275,2708,457584,13981,5754469,495149,"['萌系', '泡面', '声控', '日常', '历史']",9.5,1220.0
276,2764,459739,14833,11778624,448340,"['热血', '校园', '战斗']",7.9,665.0
277,843,459771,25443,4521096,138193,"['奇幻', '校园', '小说改']",9.7,3444.0
278,4187,465051,4429,820483,67207,"['奇幻', '战斗']",8.6,2007.0
279,102892,465133,75313,10272328,219339,"['萌系', '音乐', '原创', '偶像', '奇幻', '战斗']",9.8,19882.0
