position,salary,company_name,city,experience,education,company_type,company_scale
Java开发实习生,4-6千/月,江苏蒙亿网络科技有限公司,南京-玄武区,无工作经验,招3人,民营公司,50-150人
Java高级开发工程师-1,1.1-1.5万/月,上海高恩信息科技有限公司,上海-浦东新区,3-4年经验,本科,民营公司,50-150人
JAVA开发工程师,0.9-1.3万/月,浙江飞扬国际旅游集团股份有限公司,宁波,1年经验,本科,民营公司,500-1000人
资深后端开发工程师（JAVA）,1.6-2.5万/月,斯维登集团,上海-虹口区,无工作经验,本科,民营公司,1000-5000人
JAVA开发工程师,1.5-2.5万/月,联讯证券股份有限公司,广州-黄埔区,无工作经验,招5人,上市公司,1000-5000人
Java资深开发工程师,1-1.8万/月,广州众志物联网科技有限公司,广州-天河区,5-7年经验,本科,民营公司,50-150人
Java开发工程师,4.5-6千/月,江苏婷好软件科技有限公司,南京,无工作经验,大专,民营公司,50-150人
Java/Android软件开发,4.5-6千/月,大连域维信息技术有限公司,大连-高新园区,无工作经验,招2人,上市公司,5000-10000人
Java开发工程师,3-8千/月,南通数英信息科技有限公司,南通,无工作经验,大专,外资（非欧美）,少于50人
Java开发工程师,1-1.5万/月,深圳市华商管理创新研究院,深圳-罗湖区,5-7年经验,本科,民营公司,50-150人
Java开发工程师,1-1.5万/月,成都思腾数联信息技术有限公司,成都-高新区,3-4年经验,本科,外资（欧美）,50-150人
Java开发工程师,0.8-1万/月,北京腾信软创科技股份有限公司,广州-番禺区,2年经验,本科,上市公司,1000-5000人
Java高级开发工程师,1-1.5万/月,江西省立诚规划设计有限公司,南昌-新建区,5-7年经验,本科,民营公司,50-150人
Java高级开发工程师,2.5-3万/月,博纳德集团,深圳,无工作经验,招2人,民营公司,500-1000人
Java开发实习生,2-3千/月,四川上品汇空间设计有限公司,成都-高新区,无工作经验,大专,民营公司,少于50人
Java 开发工程师,0.4-1万/月,佛山市高卡氏智能科技有限公司,佛山,1年经验,大专,民营公司,少于50人
JAVA 软件工程师,1-3万/月,珠海泛亚科技有限公司,珠海,2年经验,本科,民营公司,少于50人
Java高级开发工程师,2-2.5万/月,深圳星时代汽车管理集团有限公司,深圳-南山区,3-4年经验,大专,民营公司,500-1000人
Java开发工程师,5-7千/月,淮安浪强网络科技有限公司,淮安,2年经验,大专,民营公司,少于50人
高级JAVA开发者,0.8-1.5万/月,汉唐树德教育科技（北京）有限公司,北京-朝阳区,3-4年经验,本科,民营公司,50-150人
Java开发工程师,0.5-1万/月,北京蓝拓科技有限责任公司,长沙-雨花区,无工作经验,大专,民营公司,50-150人
Java服务器开发工程师,2-3.5万/月,深圳市布老虎网络科技有限公司,深圳-南山区,无工作经验,大专,创业公司,少于50人
高级Java开发工程师,1.7-2.2万/月,深圳市维度统计咨询股份有限公司,深圳-罗湖区,2年经验,本科,上市公司,150-500人
Java开发工程师,0.8-1.5万/月,北京纽曼腾飞科技有限公司,北京-海淀区,3-4年经验,本科,民营公司,500-1000人
Java高级开发工程师,1.5-2万/月,上海渠生网络技术有限公司,上海-黄浦区,5-7年经验,大专,民营公司,50-150人
高级java研发,1-1.5万/月,哈尔滨天源石化工程设计有限责任公司,哈尔滨,5-7年经验,本科,民营公司,500-1000人
JAVA开发工程师（常驻客户现场）,1-1.5万/月,上海翔明信息技术有限公司,上海-闵行区,3-4年经验,本科,合资,少于50人
Java开发工程师,0.6-1.2万/月,成都盛世云图信息技术有限公司,成都-高新区,2年经验,本科,民营公司,50-150人
Java开发工程师,0.8-1万/月,江苏茂丰人力资源管理有限公司,南京-建邺区,3-4年经验,大专,民营公司,50-150人
Java系统架构师/技术总监,1.5-2.5万/月,山西普罗迪克科技有限公司,太原,无工作经验,招5人,民营公司,少于50人
Java开发工程师,0.8-1万/月,上海毅匹玺建筑科技有限公司,常州-新北区,无工作经验,招2人,民营公司,150-500人
java,1.2-1.4万/月,上海芮想信息科技有限公司,惠州,3-4年经验,本科,民营公司,1000-5000人
Java大数据架构师,1.3-1.5万/月,江西省博纳公关策划服务有限公司,南昌-青山湖区,8-9年经验,本科,民营公司,150-500人
高级Java开发工程师（组长）(J10602),1.5-2万/月,深圳贝尔创意科教有限公司,深圳-南山区,5-7年经验,本科,民营公司,1000-5000人
Java开发工程师（成都上班）,0.8-1万/月,深圳市奥科斯数码有限公司,成都-武侯区,无工作经验,招1人,外资（非欧美）,50-150人
高级Java工程师,1.5-3万/月,好车酷酷二手车经纪（天津）有限公司,北京-海淀区,5-7年经验,本科,合资,1000-5000人
中级Java开发工程师,0.7-1.3万/月,北京合力亿捷科技股份有限公司,太原,2年经验,大专,民营公司,500-1000人
Java开发工程师 Java软件工程师 Java工程师,0.6-1.2万/月,成都米点网络科技有限公司,成都-高新区,无工作经验,招若干人,民营公司,少于50人
Java开发工程师,0.6-1.2万/月,北京长盛天成科技发展有限公司,广州,无工作经验,本科,民营公司,150-500人
Java高级开发工程师,1-2.5万/月,世农汇农业集团有限公司,深圳-南山区,3-4年经验,大专,民营公司,50-150人
Java开发工程师,1.2-1.4万/月,深圳市德科信息技术有限公司,深圳-福田区,3-4年经验,本科,合资,1000-5000人
Java高级开发工程师,1-1.6万/月,广东玛斯特智能系统有限公司,广州-黄埔区,3-4年经验,本科,民营公司,50-150人
Java工程师,0.8-1.5万/月,西安四智信息科技有限公司,深圳-南山区,3-4年经验,本科,合资,50-150人
Java中级开发工程师,6-8千/月,云南蓝典科技股份有限公司,昆明-五华区,无工作经验,招3人,民营公司,50-150人
Java开发工程师,0.8-1.2万/月,上海博为峰软件技术有限公司,广州-天河区,2年经验,大专,民营公司,150-500人
Java实习生可零基础,6-8千/月,哈尔滨淼盈科技有限公司,哈尔滨-南岗区,无工作经验,大专,民营公司,150-500人
Java软件开发工程师,7-9千/月,成都金鼎时代网络科技有限公司,成都-高新区,1年经验,本科,民营公司,50-150人
Java中级开发工程师,1-1.5万/月,北京联龙博通电子商务技术有限公司,深圳-福田区,3-4年经验,大专,民营公司,1000-5000人
Java开发工程师,2-3万/月,上海聚均科技有限公司,北京-朝阳区,8-9年经验,本科,民营公司,50-150人
java服务端开发工程师-苏州,1.5-3万/月,云从科技,苏州,2年经验,本科,民营公司,500-1000人
java软件工程师,4.5-6千/月,汇智智能科技有限公司,温州,1年经验,大专,民营公司,50-150人
初/中级Java开发工程师,0.7-1.3万/月,海牙湾国际有限公司,北京-朝阳区,3-4年经验,大专,外资（非欧美）,150-500人
Java开发工程师,1-1.5万/月,四川仙潭酒业销售有限公司,成都,3-4年经验,本科,民营公司,1000-5000人
Java开发工程师,2.2-3.7万/月,苏州埃顿电力科技有限公司,杭州-上城区,无工作经验,招2人,民营公司,50-150人
Java开发工程师（徐州）,5-8千/月,上海泛微网络科技股份有限公司,徐州,1年经验,本科,民营公司,1000-5000人
Java高级开发工程师,1.5-3万/月,内蒙古君正互联网小额贷款有限公司,上海-浦东新区,无工作经验,招1人,民营公司,150-500人
Java中级开发工程师,0.8-1万/月,西安政通信息技术有限公司,西安-高新技术产业开发区,3-4年经验,本科,民营公司,150-500人
java初级开发（双休）,4.5-6千/月,广州天朝文化传播有限公司,广州-天河区,无工作经验,招2人,民营公司,50-150人
Java开发实习生（可接受应届生）,6-8千/月,华信创网络科技（深圳）有限公司,深圳-福田区,无工作经验,大专,民营公司,500-1000人
Java高级开发工程师,1-1.5万/月,深圳市银之杰科技股份有限公司,广州-天河区,3-4年经验,本科,上市公司,500-1000人
Java高级开发工程师,1-2万/月,贤善数字科技（上海）有限公司,上海-奉贤区,2年经验,本科,创业公司,少于50人
Java高级开发工程师,1.5-2万/月,南京金晟远建信息技术有限公司,南京-秦淮区,5-7年经验,本科,民营公司,少于50人
Java初级开发工程师,7-8千/月,上海千杉网络技术发展有限公司,武汉-武汉经济开发区,1年经验,本科,外资（欧美）,50-150人
Java中级开发工程师,0.8-1.2万/月,湖南新航动力信息科技有限公司,长沙-开福区,3-4年经验,大专,民营公司,150-500人
中高级java开发工程师,1.2-2.2万/月,厦门市巨龙信息科技有限公司,西安,5-7年经验,本科,民营公司,500-1000人
Java高级开发工程师,2-4万/月,杭州高信科技有限公司,杭州-萧山区,5-7年经验,本科,民营公司,少于50人
