,position,salary,company_name,city,experience,education,welfare,company_type,company_scale,company_major,_id
1339,Java开发工程师,0.8-1.3万/月,上海隆凡央驰供应链管理有限公司,上海-宝山区,3-4年经验,大专,,民营公司,50-150人,计算机软件,5dc8e8fb5955fa04c54b9baf
1340,JAVA软件工程师,0.8-1万/月,南昌优行科技有限责任公司,南昌-青山湖区,3-4年经验,本科,"五险一金,年终奖金,定期体检",民营公司,150-500人,金融/投资/证券,5dc8e8fc5955fa04c54b9bb0
1341,Java工程师,1-1.5万/月,杭州中艺实业股份有限公司,杭州,3-4年经验,大专,"五险一金,员工旅游,交通补贴,年终奖金,定期体检",民营公司,50-150人,计算机软件,5dc8e8fd5955fa04c54b9bb1
1342,Java架构师,3-5万/月,深圳市墨者安全科技有限公司,深圳-南山区,5-7年经验,本科,"五险一金,员工旅游,年终奖金,弹性工作,定期体检,绩效奖金",民营公司,50-150人,计算机服务(系统、数据服务、维修),5dc8e8fe5955fa04c54b9bb2
1343,JAVA高级软件开发工程师,0.8-1.8万/月,浙江天正思维信息技术有限公司,杭州,3-4年经验,本科,"五险一金,餐饮补贴,定期体检,员工旅游,通讯补贴,年终奖金",民营公司,1000-5000人,家具/家电/玩具/礼品,5dc8e8ff5955fa04c54b9bb3
1344,Java游戏服务端主程,2-2.5万/月,浙江盛和网络科技有限公司,杭州-萧山区,无工作经验,招1人,"五险一金,绩效奖金,年终奖金",民营公司,50-150人,计算机软件,5dc8e9005955fa04c54b9bb4
1345,Java资深开发工程师,1.5-2.5万/月,上海人赢网络科技有限公司,上海-黄浦区,5-7年经验,本科,"五险一金,带薪年假,节日福利,绩效奖金,股票期权,气氛活跃,每年多次调薪",民营公司,150-500人,计算机软件,5dc8e9015955fa04c54b9bb5
1346,Java开发工程师,4-6千/月,中科智远科技江苏有限公司,无锡,1年经验,本科,,民营公司,500-1000人,网络游戏,5dc8e9025955fa04c54b9bb6
1347,Java开发工程师,0.5-1.5万/月,思诺瓦（大连）信息技术有限公司,大连,2年经验,大专,,民营公司,150-500人,互联网/电子商务,5dc8e9035955fa04c54b9bb7
1348,Java讲师-五险一金，双休,1-1.5万/月,江西南昌新华电脑中专学校,南昌-青山湖区,3-4年经验,本科,"带薪年假,五险一金,包吃,节日福利,加班补贴,高温补贴,周末双休,员工旅游,年终奖金,定期体检",民营公司,50-150人,计算机软件,5dc8e9075955fa04c54b9bb8
1349,Java开发工程师,0.8-1.5万/月,南京枫准软件科技有限公司,南京-雨花台区,2年经验,本科,"五险一金,绩效奖金,年终奖金,定期体检,节日福利,带薪年假",外资（欧美）,1000-5000人,计算机服务(系统、数据服务、维修),5dc8e9085955fa04c54b9bb9
1350,Java开发工程师,1-1.5万/月,福建复合网络教育科技有限公司,福州-鼓楼区,2年经验,本科,"绩效奖金,年终奖金,五险,员工旅游",民营公司,150-500人,教育/培训/院校,5dc8e9095955fa04c54b9bba
